,precision,recall,f1-score,support
Apple___Apple_scab,0.0,0.0,0.0,97.0
Apple___Black_rot,0.5,0.010309278350515464,0.020202020202020204,97.0
Apple___Cedar_apple_rust,0.0,0.0,0.0,35.0
Apple___healthy,0.5080213903743316,0.41125541125541126,0.45454545454545453,231.0
Background_without_leaves,0.9506172839506173,0.850828729281768,0.8979591836734694,181.0
Blueberry___healthy,0.9545454545454546,0.1935483870967742,0.3218390804597701,217.0
Cherry___Powdery_mildew,0.0,0.0,0.0,151.0
Cherry___healthy,0.0,0.0,0.0,136.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.0,0.0,0.0,89.0
Corn___Common_rust,0.7666666666666667,0.6497175141242938,0.7033639143730887,177.0
Corn___Northern_Leaf_Blight,0.4495798319327731,0.6815286624203821,0.5417721518987342,157.0
Corn___healthy,0.9391891891891891,0.7679558011049724,0.8449848024316109,181.0
Grape___Black_rot,0.6288659793814433,0.3696969696969697,0.46564885496183206,165.0
Grape___Esca_(Black_Measles),0.8108108108108109,0.45918367346938777,0.5863192182410424,196.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.8153846153846154,0.6928104575163399,0.7491166077738516,153.0
Grape___healthy,0.0,0.0,0.0,63.0
Orange___Haunglongbing_(Citrus_greening),0.5535483870967742,0.9839449541284404,0.708505367464905,872.0
Peach___Bacterial_spot,0.40555555555555556,0.611731843575419,0.48775055679287305,358.0
Peach___healthy,1.0,0.01818181818181818,0.03571428571428571,55.0
"Pepper,_bell___Bacterial_spot",0.0,0.0,0.0,153.0
"Pepper,_bell___healthy",0.5283018867924528,0.12334801762114538,0.2,227.0
Potato___Early_blight,0.7,0.19444444444444445,0.30434782608695654,144.0
Potato___Late_blight,0.5,0.057692307692307696,0.10344827586206896,156.0
Potato___healthy,0.0,0.0,0.0,20.0
Raspberry___healthy,0.45454545454545453,0.07936507936507936,0.13513513513513514,63.0
Soybean___healthy,0.3799359658484525,0.9902642559109874,0.5491708445815657,719.0
Squash___Powdery_mildew,0.6397058823529411,0.9456521739130435,0.7631578947368421,276.0
Strawberry___Leaf_scorch,0.6881720430107527,0.8421052631578947,0.757396449704142,152.0
Strawberry___healthy,0.0,0.0,0.0,84.0
Tomato___Bacterial_spot,0.42953020134228187,0.18991097922848665,0.26337448559670784,337.0
Tomato___Early_blight,0.09090909090909091,0.006944444444444444,0.012903225806451613,144.0
Tomato___Late_blight,0.4240506329113924,0.24100719424460432,0.3073394495412844,278.0
Tomato___Leaf_Mold,1.0,0.006134969325153374,0.012195121951219513,163.0
Tomato___Septoria_leaf_spot,0.32,0.02857142857142857,0.05245901639344262,280.0
Tomato___Spider_mites Two-spotted_spider_mite,0.28969957081545067,0.5487804878048781,0.3792134831460674,246.0
Tomato___Target_Spot,0.0,0.0,0.0,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5385745775165319,0.9470284237726099,0.6866510538641686,774.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,54.0
Tomato___healthy,0.31891891891891894,0.25877192982456143,0.2857142857142857,228.0
accuracy,0.5080528846153847,0.5080528846153847,0.5080528846153847,0.5080528846153847
macro avg,0.4252597279449219,0.3118132025518862,0.29821097555521214,8320.0
weighted avg,0.47626296435666254,0.5080528846153847,0.4230411987087775,8320.0
