Class,Total Images,Correct Predictions,Accuracy,Precision,Recall,F1 Score,Needs Improvement,Recommendation
Apple___Apple_scab,97,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Apple___Cedar_apple_rust,35,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Cherry___Powdery_mildew,151,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Cherry___healthy,136,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Grape___healthy,63,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Corn___Cercospora_leaf_spot Gray_leaf_spot,89,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Potato___healthy,20,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
"Pepper,_bell___Bacterial_spot",153,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Strawberry___healthy,84,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Target_Spot,211,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Tomato_mosaic_virus,54,0,0.0,0.0,0.0,0.0,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Leaf_Mold,163,1,0.006134969325153374,1.0,0.006134969325153374,0.012195121951219513,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Early_blight,144,1,0.006944444444444444,0.09090909090909091,0.006944444444444444,0.012903225806451613,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Apple___Black_rot,97,1,0.010309278350515464,0.5,0.010309278350515464,0.020202020202020204,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Peach___healthy,55,1,0.01818181818181818,1.0,0.01818181818181818,0.03571428571428571,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Tomato___Septoria_leaf_spot,280,8,0.02857142857142857,0.32,0.02857142857142857,0.05245901639344262,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Potato___Late_blight,156,9,0.057692307692307696,0.5,0.057692307692307696,0.10344827586206896,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
Raspberry___healthy,63,5,0.07936507936507936,0.45454545454545453,0.07936507936507936,0.13513513513513514,True,"Add more varied samples, utilize harder augmentations, or check mislabeled data."
